Motion Sensor Data File Sep 20, 2018 1:40 PM
Time (s)	Distance (cm)	Dist Error (cm)
7.050	18.903	0.239
7.060	19.291	0.239
7.070	19.682	0.239
7.080	20.091	0.239
7.090	20.521	0.239
7.100	20.943	0.239
7.110	21.373	0.239
7.120	21.807	0.239
7.130	22.250	0.239
7.140	22.676	0.239
7.150	23.094	0.239
7.160	23.511	0.239
7.170	23.902	0.239
7.180	24.277	0.239
7.190	24.646	0.239
7.200	24.978	0.239
7.210	25.283	0.239
7.220	25.576	0.239
7.230	25.825	0.239
7.240	26.045	0.239
7.250	26.239	0.239
7.260	26.385	0.239
7.270	26.497	0.239
7.280	26.588	0.239
7.290	26.622	0.239
7.300	26.623	0.239
7.310	26.588	0.239
7.320	26.524	0.239
7.330	26.417	0.239
7.340	26.271	0.239
7.350	26.103	0.239
7.360	25.884	0.239
7.370	25.635	0.239
7.380	25.369	0.239
7.390	25.060	0.239
7.400	24.728	0.239
7.410	24.385	0.239
7.420	24.006	0.239
7.430	23.611	0.239
7.440	23.212	0.239
7.450	22.795	0.239
7.460	22.361	0.239
7.470	21.939	0.239
7.480	21.501	0.239
7.490	21.067	0.239
7.500	20.633	0.239
7.510	20.225	0.239
7.520	19.808	0.239
7.530	19.408	0.239
7.540	19.039	0.239
7.550	18.674	0.239
7.560	18.334	0.239
7.570	18.029	0.239
7.580	17.737	0.239
7.590	17.480	0.239
7.600	17.260	0.239
7.610	17.067	0.239
7.620	16.904	0.239
7.630	16.792	0.239
7.640	16.702	0.239
7.650	16.651	0.239
7.660	16.647	0.239
